City,Country,Cloudiness,Date,Humidity,Lat,Lng,Temp,Max Temp,Wind Speed
Coyhaique,CL,98,1579917183,51,-45.58,-72.07,62.6,62.6,6.93
Te Anau,NZ,16,1579917469,77,-45.42,167.72,64.17,64.17,8.03
Pevek,RU,92,1579917469,96,69.7,170.31,-23.4,-23.4,2.57
Upernavik,GL,100,1579917469,95,72.79,-56.15,-11.85,-11.85,5.57
Lebu,CL,0,1579917470,63,-37.62,-73.65,58.15,58.15,8.08
Manzhouli,CN,0,1579917470,80,49.6,117.43,-2.74,-2.74,3.58
Kapaa,US,20,1579917291,74,22.08,-159.32,77.85,80.6,13.87
Havelock,US,75,1579917247,77,34.88,-76.9,61.16,64.4,5.82
Elizabeth City,US,1,1579917402,100,36.29,-76.25,54.25,57.2,3.36
Peleduy,RU,100,1579917470,93,59.63,112.74,9.41,9.41,7.83
Itarema,BR,84,1579917171,88,-2.92,-39.92,76.77,76.77,4.56
Paka,MY,20,1579917470,88,4.64,103.44,77.0,77.0,2.24
Saint-Philippe,RE,100,1579917336,94,-21.36,55.77,75.67,78.8,24.16
Akdepe,TM,90,1579917471,92,42.06,59.38,29.17,30.2,6.93
Provideniya,RU,51,1579917462,95,64.38,-173.3,-8.07,-8.07,4.74
Khatassy,RU,90,1579917471,56,61.9,129.64,-50.8,-50.8,4.47
Iwaki,JP,40,1579917471,44,37.05,140.88,42.26,50.0,17.22
Salalah,OM,20,1579917471,73,17.02,54.09,73.4,73.4,1.12
Dombarovskiy,RU,83,1579917471,97,50.76,59.54,-0.8,-0.8,11.12
Wembley,CA,40,1579917471,92,55.15,-119.14,21.2,21.2,4.7
Itamaraju,BR,100,1579917453,95,-17.04,-39.53,72.82,72.82,7.9
Mahebourg,MU,75,1579917472,94,-20.41,57.7,79.88,80.6,19.46
Bredasdorp,ZA,26,1579917313,94,-34.53,20.04,66.24,68.0,1.3
Lompoc,US,1,1579917472,48,34.64,-120.46,61.84,64.4,8.05
Longyearbyen,SJ,20,1579917472,54,78.22,15.64,1.4,1.4,17.22
Mossamedes,AO,72,1579917472,75,-15.2,12.15,74.1,74.1,7.47
Saint-Pierre,PM,3,1579917472,63,46.77,-56.17,21.29,21.29,10.42
Lubango,AO,99,1579917323,85,-14.92,13.49,61.05,61.05,2.19
Lagoa,PT,100,1579917182,81,39.05,-27.98,61.0,61.0,19.91
Qaanaaq,GL,3,1579917473,47,77.48,-69.36,-7.33,-7.33,8.75
Rafai,CF,56,1579917473,21,4.95,23.92,62.04,62.04,4.59
Nikolskoye,RU,90,1579917473,80,59.7,30.79,34.99,35.6,11.18
Port Elizabeth,ZA,62,1579917473,78,-33.92,25.57,69.76,69.76,13.02
Tefe,BR,100,1579917473,98,-3.35,-64.71,75.13,75.13,4.41
Beroroha,MG,48,1579917473,78,-21.67,45.17,70.7,70.7,8.19
Hithadhoo,MV,79,1579917473,78,-0.6,73.08,83.28,83.28,14.74
Carnarvon,AU,0,1579917473,40,-24.87,113.63,89.6,89.6,10.29
Vrangel,RU,0,1579917474,48,42.73,133.08,21.22,21.22,12.91
Pelym,RU,7,1579917474,91,61.01,62.0,-2.58,-2.58,3.27
Tautira,PF,40,1579917199,62,-17.73,-149.15,87.46,87.8,5.82
Paamiut,GL,100,1579917366,72,61.99,-49.67,14.85,14.85,18.72
Manzanillo,MX,40,1579917430,78,19.05,-104.32,80.6,80.6,9.17
Tasiilaq,GL,100,1579917462,45,65.61,-37.64,23.0,23.0,18.34
Semey,KZ,75,1579917475,79,50.41,80.23,32.0,32.0,22.37
Saint George,BM,75,1579917475,88,32.38,-64.68,68.04,70.0,14.99
Escada,BR,90,1579917475,74,-8.36,-35.22,82.4,82.4,4.7
Acatic,MX,75,1579917475,37,20.78,-102.88,69.8,69.8,3.36
Ponta do Sol,CV,40,1579917475,83,17.2,-25.09,71.6,71.6,18.34
Wladyslawowo,PL,90,1579917475,93,54.79,18.4,40.41,42.01,14.99
Kavieng,PG,7,1579917182,68,-2.57,150.8,84.27,84.27,11.32
Yellowknife,CA,75,1579917476,84,62.46,-114.35,6.4,6.8,9.17
Lavrentiya,RU,0,1579917476,80,65.58,-171.0,-15.86,-15.86,3.11
Vanimo,PG,0,1579917476,71,-2.67,141.3,83.66,83.66,6.93
Souillac,MU,75,1579917291,94,-20.52,57.52,79.86,80.6,19.46
Santa Ines,BR,79,1579917476,97,-3.67,-45.38,75.0,75.0,2.68
Emerald,AU,75,1579917476,74,-23.53,148.17,84.11,84.2,19.46
Port Hardy,CA,75,1579917194,93,50.7,-127.42,46.4,46.4,5.82
Nuuk,GL,100,1579917179,65,64.18,-51.72,8.29,8.6,4.7
Kaitangata,NZ,60,1579917477,90,-46.28,169.85,58.19,58.19,15.26
Talara,PE,59,1579917477,89,-4.58,-81.27,73.87,73.87,11.14
Cockburn Town,BS,1,1579917477,75,24.03,-74.52,73.38,73.38,13.49
Villa Carlos Paz,AR,18,1579917477,78,-31.42,-64.5,78.17,84.0,6.93
Saint-Georges,GF,99,1579917477,99,3.9,-51.8,73.11,73.11,1.97
Lokosovo,RU,74,1579917477,98,61.13,74.82,-1.53,-1.53,5.32
Medvedevo,RU,75,1579917477,92,56.63,47.8,28.4,28.4,15.66
Flinders,AU,90,1579917478,54,-34.58,150.86,81.79,84.99,10.29
Khatanga,RU,70,1579917478,90,71.97,102.5,-22.83,-22.83,7.87
Bahia Blanca,AR,92,1579917478,33,-38.72,-62.27,71.26,71.26,9.89
Caravelas,BR,100,1579917478,80,-17.71,-39.25,80.04,80.04,28.27
Hoima,UG,100,1579917478,32,1.44,31.34,65.17,65.17,2.28
Dikson,RU,100,1579917478,94,73.51,80.55,-3.32,-3.32,7.02
Malaryta,BY,100,1579917478,71,51.79,24.07,33.66,33.66,13.4
Hasaki,JP,75,1579917478,49,35.73,140.83,45.91,46.99,9.17
Saskylakh,RU,100,1579917479,91,71.92,114.08,-26.66,-26.66,23.29
Arraial do Cabo,BR,20,1579917479,94,-22.97,-42.03,73.4,73.4,5.82
Lida,BY,100,1579917479,89,53.88,25.3,37.27,37.27,14.5
Aykhal,RU,90,1579917479,74,66.0,111.5,-25.6,-25.6,8.95
Baharly,TM,100,1579917479,94,38.44,57.43,36.86,36.86,14.56
Nar'yan-Mar,RU,86,1579917479,99,67.67,53.09,-10.75,-10.75,3.6
Alta Floresta,BR,100,1579917479,97,-9.88,-56.09,72.16,72.16,2.51
Alyth,GB,75,1579917479,93,56.62,-3.23,45.86,46.99,17.22
Broome,AU,75,1579917479,70,-17.97,122.23,89.6,89.6,12.75
Carndonagh,IE,100,1579917480,89,55.25,-7.27,44.87,44.87,11.48
Normandin,CA,20,1579917480,84,48.83,-72.53,3.2,3.2,2.24
Manta,EC,20,1579917480,74,-0.95,-80.73,80.6,80.6,11.41
Srednekolymsk,RU,97,1579917480,95,67.45,153.68,-35.77,-35.77,5.21
Yerbogachen,RU,98,1579917480,94,61.28,108.01,8.26,8.26,6.42
Merowe,SD,0,1579917480,43,18.48,31.82,49.53,49.53,12.37
Kurchum,KZ,100,1579917481,71,48.57,83.65,25.11,25.11,18.7
Ngunguru,NZ,12,1579917481,66,-35.62,174.5,79.74,82.0,8.01
Cabo San Lucas,MX,90,1579917481,72,22.89,-109.91,67.8,69.01,4.7
Vestmannaeyjar,IS,100,1579917481,82,63.44,-20.27,39.34,39.34,35.28
Guarapari,BR,75,1579917292,94,-20.67,-40.5,75.11,75.2,6.93
Usinsk,RU,94,1579917481,98,65.99,57.53,-2.0,-2.0,5.48
Marquette,US,90,1579917481,98,46.53,-87.63,32.04,33.01,9.17
Tuktoyaktuk,CA,90,1579917463,77,69.45,-133.04,-2.2,-2.2,12.75
Pyapon,MM,35,1579917482,48,16.28,95.68,74.91,74.91,11.56
Port Hedland,AU,0,1579917482,37,-20.32,118.57,98.6,98.6,4.7
Butka,RU,94,1579917482,91,56.72,63.79,5.5,5.5,10.54
Comodoro Rivadavia,AR,0,1579917482,33,-45.87,-67.5,75.2,75.2,21.92
Sangamner,IN,60,1579917482,46,19.57,74.22,69.15,69.15,2.68
Talnakh,RU,40,1579917482,84,69.49,88.4,8.6,8.6,20.13
Oriximina,BR,100,1579917483,82,-1.77,-55.87,79.3,79.3,2.13
Batticaloa,LK,100,1579917483,81,7.71,81.69,78.57,78.57,7.61
Rantepao,ID,8,1579917483,59,-2.97,119.9,81.9,81.9,4.09
Durusu,TR,0,1579917483,69,41.31,28.68,40.42,42.8,10.29
Teya,RU,71,1579917483,95,60.38,92.63,15.84,15.84,4.32
Wald-Michelbach,DE,90,1579917483,88,49.57,8.83,31.12,35.01,3.36
Ugoofaaru,MV,80,1579917483,79,5.67,73.0,82.13,82.13,16.49
Tuatapere,NZ,99,1579917483,63,-46.13,167.68,66.99,66.99,5.01
Port Alfred,ZA,0,1579917483,94,-33.59,26.89,64.0,64.0,1.99
Sao Joao da Barra,BR,100,1579917231,95,-21.64,-41.05,72.19,72.19,7.52
Korla,CN,100,1579917484,68,41.76,86.15,15.03,15.03,2.17
Pisco,PE,90,1579917460,73,-13.7,-76.22,75.07,77.0,8.05
Castro,CL,20,1579917484,77,-42.47,-73.77,59.0,59.0,9.17
Tarabuco,BO,19,1579917484,51,-19.17,-64.92,59.0,59.0,12.75
Santa Rosa,BO,100,1579917484,94,-14.17,-66.88,75.69,75.69,5.84
Tukrah,LY,0,1579917484,70,32.53,20.58,51.1,51.1,7.85
Tilichiki,RU,100,1579917484,88,60.47,166.1,27.88,27.88,25.9
Aklavik,CA,90,1579917484,76,68.22,-135.01,-4.0,-4.0,9.17
Turkan,AZ,90,1579917485,68,40.36,50.22,33.8,33.8,2.24
Yar-Sale,RU,89,1579917485,97,66.83,70.83,1.85,1.85,4.29
Tonantins,BR,100,1579917485,96,-2.87,-67.8,73.62,73.62,2.15
Zhigansk,RU,56,1579917224,95,66.77,123.37,-42.63,-42.63,10.69
Kodiak,US,75,1579917485,62,57.79,-152.41,19.4,19.4,13.87
Manoel Urbano,BR,100,1579917485,86,-8.84,-69.26,72.23,72.23,2.75
Horta,PT,100,1579917485,87,38.53,-28.63,57.09,57.09,15.19
Mersing,MY,16,1579917485,76,2.43,103.84,80.31,80.31,11.03
Santa Maria do Suacui,BR,100,1579917486,91,-18.19,-42.41,68.63,68.63,12.19
Caala,AO,100,1579917486,94,-12.85,15.56,61.65,61.65,1.92
Porto Novo,CV,40,1579917486,83,17.02,-25.06,71.6,71.6,18.34
Chu,KZ,100,1579917486,78,43.6,73.76,26.01,26.01,0.94
Sheltozero,RU,75,1579917486,83,61.37,35.37,30.43,30.43,17.9
Vao,NC,38,1579917213,82,-22.67,167.48,77.58,77.58,21.14
Verkhoyansk,RU,25,1579917486,88,67.54,133.38,-42.81,-42.81,0.78
Acarau,BR,84,1579917486,88,-2.89,-40.12,76.77,76.77,4.56
Cururupu,BR,93,1579917487,97,-1.83,-44.87,75.16,75.16,1.79
Ecublens,CH,20,1579917487,100,46.53,6.56,32.25,36.0,3.67
Kapit,MY,100,1579917487,97,2.02,112.93,74.28,74.28,0.72
Ryotsu,JP,40,1579917487,56,38.08,138.43,41.0,41.0,4.7
Sukumo,JP,100,1579917487,85,32.93,132.73,51.84,51.84,6.44
Haines Junction,CA,99,1579917487,96,60.75,-137.51,-9.22,-9.22,3.44
Thompson,CA,20,1579917487,85,55.74,-97.86,15.8,15.8,8.05
Muravlenko,RU,100,1579917487,95,63.79,74.52,-0.31,-0.31,12.01
Manicore,BR,100,1579917488,91,-5.81,-61.3,76.48,76.48,1.19
Grenville,GD,75,1579917488,94,12.12,-61.62,77.0,77.0,17.22
Tambopata,PE,100,1579917488,94,-12.73,-69.18,73.35,73.35,2.35
Nome,US,1,1579917488,76,64.5,-165.41,-11.2,-11.2,4.7
Skibbereen,IE,75,1579917488,87,51.55,-9.27,42.8,42.8,12.75
Wahpeton,US,90,1579917488,92,46.27,-96.61,24.91,25.0,5.82
Sur,OM,100,1579917488,76,22.57,59.53,67.44,67.44,1.34
Tiksi,RU,0,1579917488,78,71.69,128.87,-31.7,-31.7,5.95
Vila Franca do Campo,PT,75,1579917489,76,37.72,-25.43,55.4,55.4,5.82
Mezhova,UA,100,1579917489,70,48.25,36.73,31.1,31.1,15.82
Kintampo,GH,7,1579917489,16,8.06,-1.73,72.19,72.19,2.48
Bela,PK,0,1579917489,46,26.23,66.31,65.91,65.91,5.12
Nyurba,RU,98,1579917489,96,63.28,118.33,-25.37,-25.37,6.87
Coxim,BR,3,1579917489,88,-18.51,-54.76,74.3,74.3,3.31
Vazante,BR,100,1579917489,95,-17.99,-46.91,68.45,68.45,5.77
Juliaca,PE,40,1579917303,50,-15.5,-70.13,53.6,53.6,3.36
Nemuro,JP,40,1579917490,48,43.32,145.57,19.4,19.4,16.11
Eyl,SO,100,1579917490,82,7.98,49.82,79.11,79.11,19.8
Chulman,RU,100,1579917490,96,56.85,124.91,-16.65,-16.65,2.51
Bambanglipuro,ID,90,1579917214,60,-7.95,110.28,87.04,87.04,7.34
Mackay,AU,40,1579917490,74,-21.15,149.2,83.64,87.01,11.41
Kathmandu,NP,20,1579917330,93,27.72,85.32,39.2,39.2,2.24
Tapes,BR,7,1579917491,95,-30.67,-51.4,63.32,63.32,0.83
Boa Vista,BR,100,1579917483,65,2.82,-60.67,82.4,82.4,5.82
Kutum,SD,0,1579917212,36,14.2,24.67,38.84,38.84,4.99
Susanville,US,75,1579917491,87,40.42,-120.65,41.92,44.6,3.36
Sandwick,GB,75,1579917491,87,60.0,-1.25,45.57,46.4,19.46
Komsomolskiy,RU,69,1579917491,59,43.98,46.7,29.98,29.98,8.46
Baruun-Urt,MN,0,1579917491,87,46.68,113.28,4.1,4.1,8.05
Los Alamos,US,1,1579917377,60,35.89,-106.31,35.69,41.0,3.62
East London,ZA,27,1579917491,80,-33.02,27.91,75.85,75.85,2.13
Vostok,RU,11,1579917492,83,46.49,135.88,-1.39,-1.39,7.63
Portland,AU,47,1579917492,84,-38.33,141.6,62.83,62.83,19.44
Mehran,IR,98,1579917492,76,33.12,46.16,49.6,49.6,20.31
Buala,SB,21,1579917492,65,-8.14,159.59,88.11,88.11,7.29
Tekeli,KZ,100,1579917492,93,44.83,78.82,23.58,23.58,6.58
Nacala,MZ,17,1579917492,97,-14.54,40.67,69.51,69.51,5.5
Jiamusi,CN,0,1579917492,80,46.83,130.35,1.49,1.49,6.49
Alpena,US,90,1579917236,80,45.06,-83.43,34.03,35.6,13.87
Domoni,KM,89,1579917492,82,-12.26,44.53,80.37,80.37,19.71
Lorengau,PG,9,1579917493,69,-2.02,147.27,83.79,83.79,3.44
Staryy Nadym,RU,95,1579917493,96,65.61,72.68,3.54,3.54,3.27
Balabac,PH,64,1579917493,70,7.99,117.06,84.31,84.31,8.08
Aquiraz,BR,20,1579917493,78,-3.9,-38.39,82.4,82.4,10.29
Taseyevo,RU,100,1579917493,90,57.22,94.9,28.47,28.47,4.56
Hobyo,SO,100,1579917197,84,5.35,48.53,77.68,77.68,12.06
Dwarka,IN,5,1579917494,47,22.24,68.97,71.13,71.13,8.75
Vila Velha,BR,75,1579917494,94,-20.33,-40.29,75.11,75.2,6.93
Grindavik,IS,90,1579917494,94,63.84,-22.43,32.0,32.0,28.86
Lucapa,AO,100,1579917494,94,-8.42,20.74,67.71,67.71,3.02
Arrondissement de Mont-de-Marsan,FR,90,1579917494,93,44.0,-0.67,40.26,43.0,3.36
Jalu,LY,0,1579917494,66,29.03,21.55,51.26,51.26,4.97
Husavik,IS,90,1579917494,68,66.04,-17.34,30.2,30.2,29.97
Orlik,RU,100,1579917494,81,52.52,99.83,4.35,4.35,3.56
Port Lincoln,AU,0,1579917495,48,-34.73,135.87,75.43,75.43,3.85
Antalaha,MG,100,1579917495,80,-14.9,50.28,80.76,80.76,13.42
Adrar,DZ,94,1579917495,27,25.75,-1.0,63.55,63.55,10.54
Kununurra,AU,40,1579917495,67,-15.77,128.73,93.2,93.2,4.7
Beringovskiy,RU,100,1579917495,96,63.05,179.32,11.68,11.68,9.24
Poum,NC,19,1579917495,74,-20.23,164.02,79.66,79.66,13.42
Gravdal,NO,53,1579917495,68,68.12,13.5,36.36,36.36,24.56
San Ramon,BO,85,1579917495,69,-13.28,-64.72,80.46,80.46,3.83
Omsukchan,RU,100,1579917496,96,62.53,155.8,-32.35,-32.35,9.91
Narsaq,GL,100,1579917496,79,60.92,-46.05,21.2,21.2,3.36
La Asuncion,VE,7,1579917202,69,11.03,-63.86,80.6,80.6,2.24
Severo-Kuril'sk,RU,95,1579917496,90,50.68,156.12,17.17,17.17,41.03
Monterey,US,1,1579917496,82,36.25,-121.25,56.3,62.01,6.93
Batsfjord,NO,100,1579917496,96,70.63,29.72,13.55,13.55,3.91
Hambantota,LK,20,1579917496,100,6.12,81.12,73.4,73.4,4.7
Rawson,AR,100,1579917496,47,-43.3,-65.1,70.02,70.02,30.87
Ciudad de Armeria,MX,40,1579917497,83,18.93,-103.97,75.88,80.6,11.41
Rurrenabaque,BO,100,1579917497,98,-14.44,-67.53,73.71,73.71,1.36
Ilulissat,GL,100,1579917497,51,69.22,-51.1,14.0,14.0,8.05
Kumul,CN,0,1579917497,51,42.8,93.45,16.84,16.84,3.02
Caucaia,BR,20,1579917497,78,-3.74,-38.65,82.4,82.4,10.29
Erenhot,CN,0,1579917497,80,43.65,111.98,15.67,15.67,10.16
Kysyl-Syr,RU,78,1579917497,96,63.9,122.76,-37.7,-37.7,8.43
Bulungu,CD,100,1579917498,76,-4.55,18.6,73.65,73.65,1.28
Raudeberg,NO,100,1579917498,93,61.99,5.14,36.39,37.4,5.82
Geraldton,AU,0,1579917498,57,-28.77,114.6,78.8,78.8,14.99
Rhodes,GR,0,1579917498,57,36.44,28.22,45.73,50.0,2.24
Mayna,RU,100,1579917498,93,54.11,47.62,26.42,26.42,12.82
Melfi,TD,0,1579917498,14,11.06,17.94,57.63,57.63,4.56
Vardo,NO,100,1579917498,64,70.37,31.11,27.16,27.16,9.44
Alice Springs,AU,66,1579917462,14,-23.7,133.88,87.8,87.8,16.11
Tres Arroyos,AR,67,1579917499,60,-38.37,-60.28,60.64,60.64,6.35
Tsimmerbude,RU,90,1579917499,93,54.67,20.13,42.8,42.8,17.9
Fairbanks,US,75,1579917371,70,64.84,-147.72,-2.6,-0.4,8.05
Hervey Bay,AU,40,1579917499,66,-25.3,152.85,85.08,86.0,10.29
Kavaratti,IN,100,1579917499,75,10.57,72.64,81.55,81.55,7.83
Taoudenni,ML,89,1579917499,20,22.68,-3.98,72.52,72.52,5.88
Dafeng,CN,100,1579917499,92,23.45,108.59,47.26,47.26,6.71
Brae,GB,100,1579917500,93,60.4,-1.35,45.37,46.4,19.46
Litovko,RU,0,1579917500,63,49.24,135.17,-0.92,-0.92,5.08
Soponya,HU,30,1579917500,83,47.01,18.45,30.0,30.0,4.09
Saint-Joseph,RE,100,1579917500,94,-21.37,55.62,75.7,78.8,24.16
Roma,AU,99,1579917500,45,-26.58,148.78,91.51,91.51,10.07
Moron,MN,0,1579917500,71,47.38,110.32,4.95,4.95,1.92
Goya,AR,0,1579917500,51,-29.14,-59.26,73.47,73.47,4.14
Manado,ID,40,1579917501,66,1.49,124.85,87.8,87.8,2.24
Bokoro,TD,0,1579917501,16,12.38,17.06,57.76,57.76,13.02
Karnal,IN,11,1579917501,68,29.68,76.98,48.02,48.02,2.93
Copiapo,CL,0,1579917501,53,-27.37,-70.33,75.2,75.2,8.05
Safi,MA,0,1579917501,85,32.3,-9.24,53.91,53.91,16.98
Visby,SE,11,1579917501,86,57.64,18.3,40.03,42.01,14.99
Constitucion,MX,75,1579917501,17,23.99,-104.67,64.4,64.4,12.75
Makakilo City,US,1,1579917501,54,21.35,-158.09,79.05,80.01,9.17
San Sebastian,CO,40,1579917502,100,-4.18,-69.95,75.2,75.2,2.24
Nara,ML,61,1579917502,12,15.17,-7.29,73.24,73.24,7.63
Inverell,AU,64,1579917314,55,-29.78,151.12,91.65,93.99,4.0
Borogontsy,RU,20,1579917502,96,62.67,131.17,-35.34,-35.34,3.56
Izmir,TR,0,1579917502,79,38.46,27.09,30.69,36.0,4.7
Vila do Maio,CV,44,1579917502,50,15.13,-23.22,77.0,77.0,19.46
Lundazi,ZM,37,1579917214,93,-12.29,33.18,63.52,63.52,9.28
Bhainsa,IN,0,1579917502,43,26.95,76.9,53.67,53.67,1.25
Schio,IT,40,1579917502,75,45.71,11.36,39.72,45.0,4.7
Clyde River,CA,1,1579917503,74,70.47,-68.59,-25.6,-25.6,2.24
Novyy Urengoy,RU,92,1579917503,95,66.08,76.63,3.9,3.9,5.55
Songjianghe,CN,0,1579917503,60,42.19,127.48,23.83,23.83,2.66
Aracoiaba,BR,100,1579917503,84,-4.37,-38.81,76.62,76.62,4.61
Williams Lake,CA,75,1579917503,93,52.14,-122.14,37.4,37.4,8.05
Dalvik,IS,90,1579917503,68,65.97,-18.53,30.2,30.2,29.97
Krasnosel'kup,RU,100,1579917503,93,65.7,82.47,9.46,9.46,14.72
Sola,VU,7,1579917504,77,-13.88,167.55,82.31,82.31,14.36
Zyryanka,RU,100,1579917504,95,65.75,150.85,-25.37,-25.37,6.91
Yulara,AU,0,1579917504,14,-25.24,130.99,87.8,87.8,16.11
Tura,RU,100,1579917504,97,64.28,100.25,-5.76,-5.76,3.67
Gordeyevka,RU,100,1579917504,94,52.96,31.97,36.66,36.66,14.47
Havre-Saint-Pierre,CA,1,1579917504,77,50.23,-63.6,-0.4,-0.4,2.24
Sitka,US,90,1579917504,86,57.05,-135.33,33.8,33.8,17.22
Wenceslau Braz,BR,0,1579917504,93,-23.87,-49.8,59.25,59.25,3.89
Shalinskoye,RU,100,1579917504,75,55.72,93.76,23.14,23.14,7.4
Bitlis,TR,92,1579917505,77,38.5,42.25,18.37,18.37,6.69
